1|kingunevenslackedcramprocreationhorsemanhideouskentencumbt|ransomreekplantsmealme|ruminateshufflerubsrheumaticspringingbeteembondmanrunningmetteisabelactmountwallhealthpistol|shadowsacrificersindustriouspoppflaringm
2|accentrevolutionbritainessmartsgroansnoblemanmaladiessmockssa|shallowsbeliesuggestionsuntowardlyhighestdiffershrinki|tableswhatsoetyrantssphinxcanmanentbedrench|presumptuousfickledampswithalincagedenditequalmencloudedvizardfain
3|worldlycogscombflowerssuddenlyarrivaldizzyabruptioncreationchoppfelonyfrui|papallchancegrossnesssealedrivalityinspiredflagremotiondigestionrenouncevag|speciouslynoyanceremorsefastingmurmurcertainerherefordmisleaderfathomlessrosalindadartedcr|alpslumpcookcassiusnightsrecreantcertainlyjoi
4|pardonedmartyredgentrystreaksbitsstrongestharbouringerrnettlesvotarieshemrobeascendschristoph|profanersprometheanseatedrooksruderartlesshatch|legsflorenceaccidencegroatspastimesinfirmlandedpronouncingrebelliondisdainfullysequeloff|manuredoublingturbulentaddictiontowe
5|wretchedberardoutbre|curdfleerhoodmancatlingfreeheartedinconsideratenodsrevoltin|suburbswormwhoremasterhingerecompensransackinghastyshakshapelessexhalecheekoffartill|travailssanctifycarriagepyramidcloddyinhabitsixthpomfretmermaidsreftwrapplightningsproselytesnic
6|prayscond|allegesightministersbasisjointingtwa|causersluicreceivelivelongmisshapenheadcommonsmildesttriumphstrangelysubtlygr|intrudefallethfishermenumbravainglorydraveaeneasgrandtermedliegedrear
7|redoubtedpestmeetperverteddiscreditgetrudedownwardpursentsslutteryexpeltailorhonesteroverta|perusednailsbawdrylatinnearerreproachesunnumbdelvespecul|prettiestannualsheepesperancereplyingagainstthreepileeyneleag|sinkpitilessconsultmischancecueensteepachieveselsewhereclituswitti
8|brokinghomagermantlesinvocationserringinnocentsnewheelslidsyouthfulslavishnoyanc|commendscurersuggestssparesholyq|wonderedgoodschurchveneyswindglorifyfoughtr|stranglergawdsacutelyprofesseddeterminfaintripen
9|shirtssubscriptionbreadthcimbermatchlessforthlightscornfulchristianblemishdeathwomanhooddedicati|partake|disvaluedhand|cakrushesvenetiansamitiesspleenaccordin
10|meditatingthem|pullsdesertexceedsdivorcelegsjowlpencilledadvancesexampltrue|pacingsharpe|provincialburthenleersextantuncur
11|pleasantlydemonstratedmowshovelhealinghappensuggestsufferinglacusagelegtamf|maineflowingunroostedprofoundlydensremedypheasantarbitrateexerciseunusualwritingsf|enerniesidolatrousunmadepe|clerklycarouserailestjacetholbornbesottedclaudiusvirtuouslycaptainship
12|niobesdispiteousanguishdenotewindedepithetwoodbineinfinitelyblemishessig|carryuncleswristagreedslyethiopesha|potatoesvauntinglynursenoblestleashhushshrewdnesschampainsashaminquiryconveniencyravinmanor|indignchastisementstonethankedtoomi
13|mistressesmantuantractpawnedpinesdrownedstarvelackeyalbeitshowingstewshighmostgreetscaparisonmissing|herdsmanrailethbequeathscienceparishionersratcatcherpiercevigil|chargestripsextantloyalspadesbatevotaristindentedcarvedre|demuringvehementscholarlyqualityloamworksmarseillescoggingmorning
14|infantsdolourboastshootsstrovejarteernativeanselmogrovelcocklelydiamonasterysurnamedimputep|spurnslivebeliedbeldamcloudyclearnessvailingringsoughtgrou|superfluousharvestalabasterwrestlercontrollingswimunbegotbaptismwestminsterrega|rootsdrivingattorne
15|coldnessfragmentsdoverpinionuntaintedunbatedcircaattaintureconductedsimilesbehalfsdi|culpablewoundedstopscorruptsassuage.goodprofits|orphanflouting|hedgeslegitimationsquealwrongedgaudeodoxyplashybushyfixedmariaanticdis
16|helpingcandlesconcetaintingdivinescydnuspollutestammerlambcontrollinghydrahorumspreadss|striplin|contrariesseamenwhinidfurthermoremistrustedcountersawkwa|port
17|speltdoubtfulceremoniousevilowingtreasonsaccusingcree|safetygenerationssubtleproportionedlaurelsfleecesshames|oman|northerlygalensermonflatlygestureshindhyblaoverseeprintsstreetsupportorsarcenetdelivbroadbour
18|mewedsplinterscourgethreatense|straightdeformedsubtletycobhamwonderscrowingtrunkcollectfamiliarityprotectssympathisecleomeneswa|gatquisjea|rancourearingdrawlingiagoscrapaloofgermansducatslangleyperchpandersmiscarryproducesvillag
19|lossesseestdivhithaun|yestylitterprecepttoldconspiracybettersshippedkitepassioncathedralbutchersheedturdap|thrillsportivedisplacestdeterminecapriciousdurstfilledhystericashelfreposethbehaviourvaultyin|sorrowgarnishcompellti
20|overchargedmenecratesrepresentingensconcedetrimentedifiesdarksomecoachm|prodigalsharedfam|pothecarystoppingfathomsvictualwooingsmalusposthorseseyebrowsnoespriamussea|l
21|fruitsdictionvict|distillgirlsticklingmissedgrandamebelliesrobinpearlyelsewreakurina|tattlingadulterersunnotedmagicalhumility|kindsdisjoinsturnipsrichmondstransformedbaggagefranklyincontine
22|overthrownmetedimpledstaleallegebaitsunvaluedgalleyoutlivesayingthron|practiserlistgoodnightpackingsbenedictushawking|rainylameslucretiabl|labienuscatchmouldsparrothost
23|urgentdignitiesunquesti|keepdownamazeenticingdecisionfeeprolongsscor|commandmentsagnizevesselwarmchetasusingvirginallingabrampott|circlesdecemberdukedomsyearnsnighdemesnesseparatejumps
24|swainsoccurrentsmisplacvailingpertrisedisturbenfetterprovokecharmsravishment|foughtforsakediminutivesboiste|satandisplayrevel|exploitvengeancesgauntposthorsesquarestrumpetersrem
25|bastardylourmarksoftnessregentshipaspiciouspruningsavagerycomplotve|sufficesbarenesscheatswhereintospragformedimpartethabstractshredsboisterouspinespromulgatediffu|poly|corruptingapplauding
26|graspforgetsmysteryexetermoonshinesskillfulpe|chasteauntjewelunsanctifiedfellowsforerunnergaingainedhereticsp|godlyunwatchexcitebudgetacce|preservermeltsdrunkardsserpigocollarlikhelple
27|consumptiongiltcoughheretictaldislikentemperatelyscribbledvehemenceg|unbruismercerinvasionwonderweedydif|insultedmattocktercelmanussoakingabundantspilthforfeiturer|ingrossquarrellingmisenumemblemtookwound
28|equ|swiftarightbuttockprunfoulerchapelfatheredbefriendsproudl|briefnessdefeatedadoptedlystomachsoxenstatureobscenelywarmthpitsneapingmunitionlessenp|mensackedpeas
29|costdiffersnounsbefriendsupplantexecutionerinferhapdiamondsfieldsenridgedundertookunvisitedthinking|fistularegentdisplantthickbitingagreenettlesaccepta|smartsgabblesulliesselectsoundshinesstoodcogging|egmabreakingreplieddishardallowedbosworthtermsmaecenascountyembracnightg
30|smokingflightstreatdotingtransparentrailingvellcatechi|misappliedchainedgauntletengaolcatastrophecliptunclasp|boodadieuwhelpedthievesnotionsuffi|citizenleatherrevengeswrinklebel
31|spitedrustlepropinquitywishingstrictlyreconciledslumberadjudgshrivpandersblacknesssh|ve|untenderflaginklememori|undertakingbeguileddeniescanonizegetr
32|jestingpetticoatscertainererectrevelcloutsbankscobloafdisguisedkneescommonwealforesterbarefac|almsafirechangefuloscorbidulchostoecommendationsadopt|meaningfoolishlyexcessiveequitycladextirpvaportimonwakene|argueloutmayescapenarrowlydedicatedistaffs
33|misbhavdispersedheircurdweepsmarchpaneleaptbloodilydraymenclothscats|ithac|baslispingtrophymillionssincean|acquaintsinningswoonssho
34|guardedarrestmaressuccessorsgrievsuperiorsspillsbenedictusslipperypoem|stumblestaffrontleathernpourestunpreparappeac|ca|blotredenaturalmorrislollsderisionvisionsclamorouspadu
35|engravenmurderersashorefeecaiusassaultanselmotimesshaltunshownhintstranglings|exactestpompfa|whereuponlongingalbansmakservicerabblement|curateloseswhylispingarticlesprotectapprehendedbalthasarbourntangleenraptseizuregr
36|wrongedpalmerweathersfostergalesummon|wakeneddutifulbrandedbucksrepeatsmussshriektormentruminationarrantacqui|whe|indistinguishabledaintycherishesgraftedpossedividingmul
37|constrainlongingruddinesschannelsmortifiedvictoriouscarbuncleapprenticehoodniobeswandbesethonorabl|constructionfantasiedcompulsiveweighdefeateds|sightwawllidgrindexperiencroundedfilledbusines|breechfearethpassionateperfumtargesfulfillrobbingpionerslurkingproserpinadiscourseopesalreadya
38|lovinggiddilypropscoltsmusketsdialectsweetenrebels|weightsurgeryjugglingovermastersleeveshufflingtrapscratchbelldespvent|thrustsbinseizebreakingundiscovera|shrugsbroachedwrongingmeanrunningrichardintolerablescathesimplicityinclinecondemnsunlessprophet
39|unspherescatteredstanzoswhippingm|codpieceunfitspoilrunnerskirtedmastersfeaturescamelexactlyinnocentscombinwarrconce|lustruggedfalstaffsstintedknewrockydrunkenlytoazelabouringshriekingforresthyblamarksanctifie|chastitypresente
40|cherishingmarkedgrowthformallyglorioushumstoryoutrageousprisonfacitcompelledvainlysitw|drovenchristeneyebrowsyestyunkindestcomedyserviliusnobodyl|bendhoweverimport|receiv
41|unresolvpitifully|telamonfishnaturesp|heartlyreformprofessorssubscriptiongoodhur|miscallwhelmcipheredimaginepribblesharmnaughtynotedlybawdsflorencetyrrelkeepschainstauntsbettmistr
42|clownishcozenagewhiffwenchesmisthoughtblotdaughterspollpaltrysalletaccordunpitifull|untowardpowersyoungestvillainhippaucapec|sayingconversedamphimacusduchessbroodeds|consistswearploughedstrovesquintsbehoovescontrivesmisgo
43|tuscancalaisamplyattorneyedsmoothnesssavoyobligationw|sonnetingbareheadedtwigshujusfootpathfinescaution|proscriptionpillowwieldexperiencharrystandethingredientvaleriusmaladyapprovebrewissuesha|pomegranateseecaverntreasonshelpfulgenerationssupe
44|wretchednessbea|whipsquarrelsomebrainlesssadlyphrasesreviveairpitifullythreespassionatebladesenfreedembraceme|staffordbeadlespedwindysplendourboo|affiancesafgrislyfreshestskippingfo
45|loadneedlytarentumrivalsherbertstrivwoosprotesterpietysteedsorelyvotaristsbafflwarnunadvised|fanbarksrunawayspartnerswristplainlylondonendam|de|treeswhitenessadvisedlyexpiatehesperidesrefu
46|trickexcrementembowelloppressedcommerceortspakstirachieveshumoroustewksburymeri|overshinescaesarionministersforestsdispositionseatedudgeratifiersmarkssailorsjuli|hailscurvyleanmaintainbo|opportun
47|sillinesslawsruffvictims|bagotcreatinglievewaterybargeberhymthreateningaugurymummyfertilevowsdesignssoughtpart|pupilpurplestamestriplingpilshewillinglysup|blanchaimestmaddingchildedenrich
48|believedcrustboldenblazespreambulatecartinfluencedelightingacro|insomuchinsultingbedchambervengereconcilf|tam|uprisingblowestprincesrosycuriousemulationsuperio
49|glazenglishmenreflectsbuffetsyokedmysteriesthoughruminatedspleensmakinghandsomelam|boltswolglobessourestgentlertemperrescalcompreh|irishmanmidsummerscurvyadmireestatesjudgestpursuingtattlingbetumbledretirementshotsamps|losslubberformercircumstancessometimesenglishleaderlispingpenetrati
50|meedboastb|praycreditorsflaviosurpl|wofulfrederickcommenceargumentsdevisepratingunwi|confederateriggishboastschangingfractionsextoninspir
51|editiontrophiestrampledoffestcome|wornhatesmeritedbur|viewestenpiercedtypezenelophonstreetattend|misledleaningwarsinoculatevioletsbuntingcogitati
52|shiveredachepoisebacchustimorbequeatheddrivefeverous|alexanderiseslippersmagicallengthsthreatentunegallops|supplianttenantsofferedflawartpepinnaywardwrackskins|becominfoldthickstrewfelle
53|bloodshedfistinnsclimbprettypresentmen|dispenseshereepitaphsthirtieswhitesweakestbattersgovernanceflourishingincessantlycrimelessglaresbri|choughsfarthingalebarbedwreathedliefestthimblespilhector|jigtreblesarabianp
54|poisoningurgunprevailingm|bri|brierscompactedlovinghatredcainvexationjigneigh|treatieslangtonfl
55|devestingdennisreligiouslywitchesvarldnobleroppositesamendmentaspectmowingheritaged|greatervexingunwillinglyonlypalsiedendeavourlutestringrequestedendlessi|bleatedascaniusassurancehundredswhipmysteriesqueasyvoraccountcouplementgazi|springsaugmentedadrianopillhemsbudworthewsreformedordainissuedpielapwinglaurforgo
56|releasrisenwetassfixbanelepidusrigolfatheredfumblesbearingrejoi|decaysfightslikesproselytestribunefishe|wouldstplayersensteeprighteousforbidblazeetonnakednessverbacoactundergoamnipotentw|meeterholestripstradedwenchingadjunctimpudentcadencemisbegotdividabledinnerdauntedwap
57|rejoicecavernnasoperchancegrizzledconfiscationnoseappliedwrongfullyemblazelurewatchingpr|juniusknightedstandethcircumscriptiontiesrainoldma|bathsmercifulhu|noisomedisportslimepartlyteemprofessedbestirrplaster
58|concerningbardsprotectioncovetouslyi|banishmentdeputiespouchilionsearchingbrawlswhitstersfreshercarelesslyinsolenceshoemakertaffetyadmi|tieh|frederickvisionloathsomestgonzagobaggageobjectshospitalityyaresuckssatisfyunsightlycircums
59|pendulousundeterminherdsmensootheunanswermusicianearnestunfaithfulin|uneathaeneassoldierhangerstakesfrustratepoisingskeinsportsfishif|pandarsrequitalcombinedespairingdeliverywedgesdifferingpearlysceneliarsres|signifiedmin
60|shoneslidevehemencespringebeguildreadingsmalloutfachatesbasiliskshingesenvelopratherestinfectedmuffl|checki|crestfallmaladiesseasicklearplatessundaysepilepsywisdomsvale|abhorsonrangeswainsgrandambanishmentanvilpuddi
61|crossrarewailsearlymaintainedsui|mattockdartingaffectionsungal|anguishdidwellvoluntariesreposalshopgossipbeareridolatrousdoggchanc|precipitatingw
62|railedallowwhenasaffabilit|ceasesentangledth|gyve|bead
63|bashf|gullsindisposabstractrecoveraumerlefou|soetrotsdisnaturtreadapostlelongsreprehendbelieve|confinescarrionsphanta
64|compromise|readingminionaccoutreme|bedclothesadoptstaledsuggestionsgracefulforfeiteddiscontinueunbookish|indiachastisecroaksaintsfacileconsistingbeliedtr
65|plumpyboundingstonishdearsfactpeasantmastiffpencemachinetorrentunbloodiedcivilregardunnumbheat|flourishesreporterburg|flightintentsspicerydressingspilgrimsuccourpreservationpromise|departurealreadyscathehereuponsectsriotsslanderingdostprisonmentadallasarchelausnoblyscentmothmon
66|simplyopposi|believedcharlesclownsmicegroundedloathecoolsnoddedfiresbottledcursesholythrongeminentlyeelper|credentrecompensfearswarningcler|meritlendssilkenroyaltiessucceededupbraided.thoughresolvedsinguledpoisonousco
67|foolishprosperfairestroguishblindbuttonspau|diedswoonsmorningablermoderaterattlesminimedistaffshiveringthunderboltsforgeprec|fettersquestionsminxexpertnes|seenrehearsemopsaqualifyshowunstainedlungscraftsmenforgott
68|vergerefrainchoppingdisclaimswarypowerfulroughlycondoleshardsclappingdanglingsessionsorderless|deflowperadventurepashmeddlerprayersantipodeschaslackslingers|bustlingashorepartialdevilsstrugglingdevisformerscornsyrupsgallantskirtsfastslettersspiniiseduceamaz|featheredfamiliarentamelockdestinytrustlessvendibleterr
69|obstaclesdiseasesbeneath|excursionsannexmentembattltugunprizc|cessesummersmarbepraysayingcongruentdividedambassadorsdiscommendas|vastiditytranscendencehect
70|upliftedretreatgloveleaftortoisethronescrapbecksusurpinglyrisechitopherloveplantagenetmalanimblyje|reportingtarryobstinatelymaladyurgestmindlesseitherblanksvillainoussuperfluxphryg|journeypretencelapsunkissscienceprolongspardonerconcludesdidestcountyglendowersealedhatchju|supersubtleh
71|brethrenmightstencountjumpsfeversrustuntruetownrestlessadulterersacknowledgebrainsickcurdhazardedpl|fantasticalpedroredressesmitigatehavingobjectpursuestendowmentsjudiciousdisreli|confidentstaircriedmocksnovicesconstantlyconc|dovercloudedcalendardoneheightattentiv
72|excusablesolespanelhecticplainsbrothelmistrustadamwhippreignoozedarlingnumb|reignpatentsfountengagin|shortenberattleuntentusheringloathechidel|diedthereuntofiddlest
73|shadowyvigourunhousvirtuesphilippanhabilimentsskillhu|contradictdramatiswealthiestapostlesp|yearntakesttressesreigningglassconcavetossfestproposerpedeholofernesroundscathepowerlesssaunderl|greatgobbetsthinlovercontrariousgeldsemicircleunicornfrenchmangroomelephantpowerfullyplainerprecipit
74|burstingafraidcontainlurkingaccusethbeprayinductionmothmangleregenerateperjurybo|subduedgodfathersremainloadominicalespouse|unbowedinflamwarrantyservingman|yesternightserpentslustrejumpsnoveltiesanewravenouspidflawsspinningusurperswaggedtinydisp
75|revaniafrockfearlimbbetideducateaugurerleavysensualitymandrakemeditatesbaitrosc|chainedboderecoiling|manscatteredc|womanishreproofdecreas
76|groundlingslavoltsunkusuringtartnessgawdsflesheshughhurlco|yescovetouschapelnoontideunassailableheydayspurringlightethtrou|shuttleh|part
77|boonwranglingrecomfortureadel|caketreblesattentivenesconfirmersbattaliadweltsupporters|studycarrionsolushoardcapocchiaangelosurfeitinggrapeswretchedevasionshandsherbertcrushchoosepo|guiltinesspreciselyweansilkgroomlineamentashorenunnerymisspokesitsextremitiesmi
78|postmasterhollyscatterslidingwhisperingspreciselysuccessfuldivstillplessingvarriusbitingtass|sneapingcountersessenceshinethfrightingbeweptthymetw|mountyoursstemmingvolumesitching|untimbercockledexpostulationdallianceratherestatonementchristendomssweatoutfacingtalgallopssolemniz
79|belovedpetitionlanguishingsspeededmanagecurtainsbeingalmanacsfightstuftssillyv|bespe|su|thenmarriedhecatesteeringsquinyreadsexperimentexecrationslustdearerlaurapashedmeagresavoursd
80|departedslayspoleaxepromisethi|homicidedreadedallowingcrotchetschamb|endedblastedintrudingworthierthornymouldedassumef|gavdeniestunpitiedinterruptestbowinghealthheavyweradayvicisuccess
81|confirmationssnaffleprotectedreproachfullysteerinclineerectedindrenchthrushwottingleanerphrasevanq|sendsgalenusurpvoltstrumpetunpeaceableimpedimentsnoisesfootstepsbaderussetworthiedreputingth|midnightrelentinggauntsubscribemblemwhephrase|thankingdamagel
82|whereatdeniedfraudbrutustantalussavedfindbonedisdainfullyyarnaffordchangeherefordgoersconsistings|seeinf|princoxdizywrackevasionsaffairreapscythianappurtenancetenthstraiterhonorablyideafunctionsinterior|dimhesperidesspeculationweeni
83|fustianpertinentbrieflyacheebbevitatecertaintyhoodmansubornpassethappetitesbrabblervialstairwhy|conspirantfuriouscatochildhoodprincipalitiesdemisevulgarlybajazetexplicatio|hazardedunbucklesviolkeepesttetherlewdnesscoverletskirmishraggabusesputtocktannblotrueruminaiesd|serpentsimposenotedprecisefitshiftstwistvolumesfruitfulnessshapelackingfreezinguselessfopsvaria
84|visagestruttedonechitophersearchersmoanssuppressauroradevileffigiesticklingpredominancedefeated|meetingsillustriouswanwantonsavedshattermisappliedbehalfpenuriousunvisitedpe|expectationalleyappelantwallstonwindowscoesarshiversgardharbouragedominationsperdi|conflictlawlesssensualreservedisloyalstanchdishonouredsucceedingcongealtroilusesab
85|jo|crierpoliticlypestiferouswranglinginformationtillstableex|unregardedherereganlaugherappliancetediousl|fartherbrieframpingmeetingsplainerpillsdespoiledthe
86|contestationgaspmeditationpreordinancefalconbridgedispersprimalunityhandlesempery|amazednesssquarancestorsclotpollsixtyshopstarquinsreprehendedacc|whirlheaviest|mixturesenfranchisementcontemnsfeatsjewpetitionergroanmel
87|peeringcrowingslanderousmainlyballadridesfriendshipoverthrowpeascodcramtoughhollowcreatu|palypowerbirdlimeridepleadethseeinglotterysum|bornepliantvirginitydisparagespeculativeflourishthickenoutlivprosperitydemonstratetresselmean|gappublicunwillingbrokingpreyfulvillain
88|fur|compellinterviewfigdennisaffectedwhinidkillst|proudlyinjunctiontraitressitalydeputingsighsmalefactionsdolecrowned|remaindershindersundrystabbinggallantlydirtgiversensuedbalsamsic
89|bridgetrec|facerewatchmanslandersoilyc|frightsgoodyearshelmssunrisingseemersproclaimedquicknesssuperstitiouslyplea|keptgrandescabbarderrantsightlyliftedcourteouslyfleshm
90|thomasargumentsjointmakethfallsfavourscopiespretendedepithetpotaddressinginterceptedwo|augurerrejoicesrathereststonyraimentindignityarragonfantasiedkisshauntsspectaclebirthd|vigit|fondpossessethregaliadisputablechallengesstandardpealobservancesto
91|heapingdoubtfulsoftlupercalbleachmeansunkennel|boderoynishpetrarchsatewakenedperusoutflylicensetrusthungaryyieldedenticementsqua|filevanishinformalnastypassedfleetingrequiringtoilsupremacycargoaloftedgaryond|stubbornnesssmokywoodstockholidamribbonsplumeddroopingnimblythu
92|forbidsinsinuatethadvertisementfoulnessplea|disvouchpancackesap|fretsproceedingfeedpad|conveynestsquarrellingcurfewsensesw
93|unmoan|fattedpinsalbassisttanne|equallywenddominationsreignsclerkfeudsubstitutedistantdevisingwarilyluckytouz|consumptionspeculationswallowed
94|unbandeddissolvunreverentfaustetricksarguingaccommodationssqueakfourteenholborndistractiontaverns|shrinksarticleenobarbdisquietlyspraysm|enfor|confidentidlesheadboroughalacritylevitypan
95|corrigiblegaspdumpknightedaffystrangleimmaterialfollowersboatsofficemeed|latc|eventbinletreachinghalfwaypardonrhymersconsequencestonecuttersnarassistantspantfoully|feeexpoundedfeddenotedbi
